playht聲音代碼,playht聲音名稱,語種,playht聲音試聽url,
cmn-CN-Standard-A,Yu Yan,Chinese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/cmn-CN-Standard-A.mp3?generation=1577739022757971&alt=media,
cmn-CN-Standard-B,Zhang Wei,Chinese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/cmn-CN-Standard-B.mp3?generation=1577739024779796&alt=media,
cmn-CN-Wavenet-A,Zhi Ruo,Chinese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/cmn-CN-Wavenet-A.mp3?generation=1577738283601861&alt=media,
cmn-CN-Wavenet-B,Li Wei,Chinese,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/cmn-CN-Wavenet-B.mp3?generation=1577738285782054&alt=media,
zh-CN-XiaoxiaoNeural,Xiaoxiao,Chinese,https://media.play.ht/full_-MWYop0bpUqReHyw353u.mp3,
zh-CN-XiaoyouNeural,Xiaoyou,Chinese,https://media.play.ht/full_-MWYow2lHJ7f1cuvr-ME.mp3,
zh-CN-YunyangNeural,Yunyang,Chinese,https://media.play.ht/full_-MWYp1dog__rd2CjOrM4.mp3,
zh-CN-YunyeNeural,Yunye,Chinese,https://media.play.ht/full_-MWYp64XGEGYhlH86PzJ.mp3,
zh-CN-Kangkang-Apollo,Kangkang,Chinese,https://media.play.ht/full_-MWcH5KEUhLdT5RfD80R.mp3,
zh-CN-XiaohanNeural,Xiaohan,Chinese,https://media.play.ht/full_-MWcSCX0nRkbi3WLFVIJ.mp3,
zh-CN-XiaoxuanNeural,Xiaoxuan,Chinese,https://media.play.ht/full_-MWcSWe6LeLDe2Mg489_.mp3,
zh-CN-YunxiNeural,Yunxi,Chinese,https://media.play.ht/full_-MWcT2T264z196lhpZ1b.mp3,
yue-HK-Standard-A,Lixue,Chinese,https://cloud.google.com/text-to-speech/docs/audio/yue-HK-Standard-A.wav,
yue-HK-Standard-B,Kuan-yin,Chinese,https://cloud.google.com/text-to-speech/docs/audio/yue-HK-Standard-B.wav,
zh-HK-HiuMaanNeural,HiuMaan,Chinese,https://media.play.ht/full_-MWgo-zR-V3aFGJCRKPT.mp3,
zh-HK-WanLungNeural,WanLung,Chinese,https://media.play.ht/full_-MWgo47PPQ1fmKXK0T7F.mp3,
zh-TW-HsiaoChenNeural,HsiaoChen,Chinese,https://media.play.ht/full_-MWgnl0urXv5Ob4-pRus.mp3,
en-CA-HeatherRUS,Heather,English,https://media.play.ht/full_-MNf1fbANA2-TgUmVuTH.mp3,
en-CA-LiamNeural,Liam,English,https://media.play.ht/full_-MWgiL5dtRS0J5IskfSy.mp3,
Raveena,Raveena,English,https://www.googleapis.com/download/storage/v1/b/play-testing-412e4.appspot.com/o/full_-KgVMJ3aErhvcJdro38R.mp3?generation=1490896731578000&alt=media,
en-IN-Heera-Apollo,Heera,English,https://media.play.ht/full_-MNf1dSt7kE7CphUsLEW.mp3,
en-IN-Ravi-Apollo,Ravi,English,https://media.play.ht/full_-MNf1cnb8sudGuz0dHyW.mp3,
en-IN-PrabhatNeural,Prabhat,English,https://media.play.ht/full_-MWgit8wWXO-UyoJKngy.mp3,
en-IE-Sean,Sean,English,https://media.play.ht/full_-MWbvUi58vP3tLKJGuLX.mp3,
en-IE-EmilyNeural,Emily,English,https://media.play.ht/full_-MNf1X45RyqddzI33h78.mp3,
Amy,Amy,English,https://www.googleapis.com/download/storage/v1/b/play-testing-412e4.appspot.com/o/full_-KgVMvY3PjkOOHLo3rwH.mp3?generation=1490896906472000&alt=media,
Brian,Brian,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-KgVeFVXKvcJV5pTGeXT.mp3?generation=1490901753456656&alt=media,
Emma,Emma,English,https://www.googleapis.com/download/storage/v1/b/play-testing-412e4.appspot.com/o/full_-KgVMZR3Na89X_Jxu7-Z.mp3?generation=1490896816185000&alt=media,
Emilia,Emilia,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-Log_xztPcPrYlK7njiY.mp3?generation=1568411215756565&alt=media,
Logan,Logan,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LogaK7lNTBxsnG4LXXs.mp3?generation=1568411310551159&alt=media,
Anna,Anna,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LogaFSlFdkd0_de45l9.mp3?generation=1568411291097477&alt=media,
en-GB_KateV3Voice,Lily,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-LsXkeeH9kX9l39gQWgy.mp3?generation=1572541260499895&alt=media,
en-GB_CharlotteV3Voice,Charlotte,English,https://watson-developer-cloud.github.io/doc-tutorial-downloads/text-to-speech/samples/CharlotteV3.wav,
en-GB_JamesV3Voice,James,English,https://watson-developer-cloud.github.io/doc-tutorial-downloads/text-to-speech/samples/JamesV3.wav,
en-GB-MiaNeural,Mia,English,https://media.play.ht/full_-MNf1b6nsQ-qtph757sY.mp3,
en-GB-George-Apollo,George,English,https://media.play.ht/full_-MNf1cFVVOc-QCGlW2qY.mp3,
en-GB-RyanNeural,Ryan,English,https://media.play.ht/full_-MNf1Xc64UCx6PZIRg7x.mp3,
en-US-Wavenet-B,Robert,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-L922AzTmsp3o6vbEHja.mp3?generation=1522617077599546&alt=media,
en-US-Wavenet-E,Elizabeth,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-L922ccDPTBRkh2a-OPC.mp3?generation=1522617195128886&alt=media,
en-US-Wavenet-F,Linda,English,https://www.googleapis.com/download/storage/v1/b/play-68705.appspot.com/o/full_-L922hv4G__UzXDtQiaK.mp3?generation=1522617216961872&alt=media,
en-US-Wavenet-G,Margie,English,https://cloud.google.com/text-to-speech/docs/audio/en-US-Wavenet-G.wav,
en-US-Wavenet-H,Cerys,English,https://cloud.google.com/text-to-speech/docs/audio/en-US-Wavenet-H.wav,
